"STATION","NAME","DATE","DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","DLY-TMIN-STDDEV"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-02","-4.1","-11.9","11.3","-13.5","18.1","-11.8","4.4","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-03","-4.0","-11.8","11.4","-13.6","18.3","-11.8","4.6","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-04","-4.0","-11.8","11.6","-13.6","18.5","-11.8","4.7","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-05","-3.9","-11.8","11.8","-13.6","18.7","-11.8","4.8","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-06","-3.9","-11.8","11.9","-13.6","18.9","-11.9","5.0","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-07","-3.9","-11.8","12.1","-13.7","19.1","-11.9","5.2","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-08","-3.9","-11.8","12.3","-13.7","19.2","-11.9","5.3","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-09","-3.8","-11.9","12.4","-13.7","19.4","-12.0","5.4","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-10","-3.8","-11.9","12.6","-13.7","19.6","-12.0","5.6","-13.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-11","-3.8","-11.9","12.7","-13.7","19.7","-12.1","5.7","-13.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-12","-3.8","-11.9","12.9","-13.8","19.9","-12.1","5.9","-13.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-13","-3.8","-11.9","13.1","-13.8","20.0","-12.1","6.1","-13.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-14","-3.8","-11.9","13.2","-13.8","20.2","-12.1","6.2","-13.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-15","-3.8","-11.9","13.3","-13.8","20.3","-12.1","6.4","-13.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-16","-3.8","-11.9","13.5","-13.8","20.5","-12.1","6.6","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-17","-3.8","-12.0","13.7","-13.8","20.6","-12.2","6.7","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-18","-3.8","-12.0","13.8","-13.9","20.8","-12.2","6.9","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-19","-3.9","-12.1","14.0","-13.9","20.9","-12.2","7.1","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-20","-3.9","-12.1","14.2","-13.9","21.1","-12.2","7.2","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-21","-3.9","-12.1","14.3","-13.9","21.2","-12.3","7.4","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-22","-3.9","-12.2","14.4","-13.9","21.4","-12.3","7.6","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-23","-3.9","-12.2","14.6","-13.9","21.6","-12.3","7.7","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-24","-4.0","-12.2","14.8","-13.9","21.7","-12.3","7.9","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-25","-4.0","-12.3","14.9","-13.9","21.8","-12.3","8.1","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-26","-4.1","-12.3","15.1","-14.0","22.0","-12.3","8.3","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-27","-4.1","-12.3","15.3","-14.0","22.2","-12.4","8.4","-14.0"
